Sample,,,,,,C37:3 Results,,,C37:2 Results,,,GDGT-1a Results,,,GDGT-0 Results,,,GDGT-1b Results,,,GDGT-1 Results,,,GDGt-3a Results,,,GDGT-2a Results,,,GDGT-2 Results,,,GDGT-3b Results,,,GDGT-3 Results,,,GDGT-4 Results,,,Cren Results,,,Cren-regioisomer Results,,
,,Name,Data File,Type,Acq. Date-Time,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area
,!,CM_F8.5_QQQ_Drift_v210227,20230113a_002.d,Sample,1/13/2023 7:55 PM,2.958,9.31,21305,2.958,3071.32,1134637,19.770,8,3165792,19.200,1419584.01,33139236,19.770,8,3253195,19.770,8,3435698,20.857,8,104492,20.264,8,459257,20.445,8,1727377,20.989,8,847368,20.989,8,847367,21.895,8,22771421,21.878,245222.98,60395698,21.878,262.22,60096091
,!,C37:2_C37:3_std_113-10_1000ul-99:1_hex:IPA,20230113a_003.d,Sample,1/13/2023 9:04 PM,2.991,43101.52,105613321,2.983,1153.92,13693481,18.798,2.48,720,19.078,222.22,30747,19.375,3.34,484,19.869,1.13,34,20.841,1.63,62,20.314,1.62,89,20.314,1.62,89,20.594,0.93,74,20.841,1.40,63,21.763,72.56,9905,21.911,256.19,17770,22.208,72.74,6947
,,blank,20230113a_004.d,Sample,1/13/2023 10:13 PM,3.115,0.51,446,3.397,1.45,595,19.029,0.95,29,19.062,4.77,278,19.523,0.72,162,19.918,0.45,28,20.066,1.54,350,20.149,1.01,33,20.149,0.83,33,20.808,0.65,37,20.923,0.93,35,21.565,1.76,158,21.779,89.19,6463,21.779,159.00,6443
,!,brgdgt_rr_jb,20230113a_005.d,Sample,1/13/2023 11:21 PM,3.860,2.65,3653,2.115,26.90,12958,18.946,27.38,6716,19.111,15566.93,1513355,19.408,27.62,4034,19.869,48.35,5759,20.165,25.88,2707,20.248,12.91,7255,20.248,36.77,7240,20.659,28.93,3066,20.923,29.82,3215,21.417,65.12,4659,21.779,3084.15,210250,22.191,485.72,14753
,!,CM S77_2%_TLE-TE,20230113a_007.d,Sample,1/14/2023 1:39 AM,3.149,7140.93,13097252,3.149,1124.55,1012599,19.160,1.26,258189,19.177,280319.89,82579736,19.375,0.29,122172,19.737,134.25,13231543,20.396,2.55,65201,19.737,8,111420,20.412,8,11790502,20.857,8,111342,20.989,8,1058913,21.631,0.70,-47208,21.855,389439.16,72360950,22.241,33547.56,6896417
,!,CM S63_2%_TLE-TE,20230113a_008.d,Sample,1/14/2023 2:48 AM,3.195,1692.34,7000800,3.198,540.91,588835,19.160,2.58,405360,19.177,8,57022919,19.589,8,212955,19.753,8,12144755,20.314,8,77818,19.721,1.09,152897,20.314,8,11466702,20.890,5.93,72797,20.989,17.49,376970,21.631,0.42,-104474,21.845,8,49932632,22.224,8,4998691
,,blank,20230113a_009.d,Sample,1/14/2023 3:56 AM,2.851,0.50,2211,3.281,2.44,482,19.704,142.63,6448,19.193,129.10,58551,19.704,142.53,6431,19.704,93.12,6442,20.231,0.47,55,20.248,18.89,1324,20.478,49.53,2701,20.956,0.62,41,20.956,0.58,41,21.845,268.03,25427,21.845,8,84419,22.043,8,5450
,!,CM S64_2%_TLE-TE,20230113a_010.d,Sample,1/14/2023 5:05 AM,3.321,2949.59,6556111,3.322,474.59,560430,19.144,2.89,483953,19.189,255898.73,65889497,19.391,0.31,216469,19.753,8,11200637,20.379,8,65070,19.770,0.67,121495,20.412,53.33,8791188,20.906,8,84736,20.989,8,481933,21.631,0.63,41906,21.862,8,55637495,22.570,0.01,767323
,,blank,20230113a_011.d,Sample,1/14/2023 6:14 AM,2.983,1.46,1053,3.273,1.60,539,19.688,140.48,4634,19.210,657.03,69356,19.688,72.88,4627,19.885,25.44,2027,20.841,1.34,66,20.412,12.85,1725,20.412,12.84,1723,20.841,0.95,67,20.841,0.96,67,21.845,514.18,35156,21.862,886.70,68978,22.060,405.66,23494
,!,CM S41_2%_TLE-TE,20230113a_012.d,Sample,1/14/2023 7:23 AM,3.472,4262.17,28682009,3.231,3555.67,14371535,19.144,1.62,848230,19.177,8,111561113,19.605,8,560876,19.753,8,19337842,20.396,0.92,46164,19.753,1.24,214546,20.396,8,18241774,20.808,0.58,45840,21.022,14.42,1603030,21.631,0.64,51281,21.886,8,78148204,22.274,20.95,4902198
,!,blank,20230113a_013.d,Sample,1/14/2023 8:31 AM,3.190,0.72,3175,3.380,2.73,327,19.655,132.08,9769,19.177,1107.77,131893,19.655,131.77,9729,19.770,213.72,15875,20.561,1.02,108,20.264,40.08,2331,20.379,15.30,844,20.561,0.35,59,20.561,0.35,60,21.532,80.38,1389,21.878,1702.55,129251,22.241,148.96,7444
,!,CM S61_2%_TLE-TE,20230113a_014.d,Sample,1/14/2023 9:40 AM,2.881,5077.94,23508031,2.876,1737.06,2464128,19.012,2.39,562924,19.047,86424.13,101894509,19.226,0.23,203754,19.589,8,17454178,20.264,0.67,71771,19.556,0.87,33394,20.215,2579.44,15869124,20.709,8,111490,20.857,353.64,1104278,21.483,0.47,57879,21.729,8,72294254,22.092,8,6670993
,!,blank,20230113a_015.d,Sample,1/14/2023 10:49 AM,3.066,0.54,1468,3.446,0.37,78,19.243,12.66,312,19.325,8,10608,19.342,6.56,612,19.721,3.39,301,20.050,0.99,42,20.215,189.89,8327,20.215,189.99,8337,20.906,1.92,155,20.906,1.93,154,21.730,384.54,56371,22.010,305.68,12552,22.175,235.29,9207
,!,CM S76_2%_TLE-TE,20230113a_016.d,Sample,1/14/2023 11:57 AM,2.942,5920.19,11440466,3.206,8,-260279,19.062,1.84,517621,19.095,887.35,86872195,19.292,0.19,111082,19.676,112.09,14042086,20.314,37.33,63006,19.671,1.75,33981,20.330,8,11783510,20.791,8,105349,20.939,8,1087709,21.532,0.62,17458,21.796,12355.22,68210576,22.109,1263.04,9541496
,!,blank,20230113a_017.d,Sample,1/14/2023 1:06 PM,2.950,0.35,296,3.355,1.71,462,19.210,0.33,61,19.095,8,85465,19.210,0.23,62,19.803,2.53,359,20.561,1.28,66,20.330,3.34,285,20.330,3.47,316,21.747,98.66,5704,21.747,119.56,5701,21.796,88.97,27328,21.763,1192.90,130380,22.092,216.84,22786
,!,CM S39_2%_TLE-TE,20230113a_018.d,Sample,1/14/2023 2:15 PM,2.934,24055.20,15838998,2.934,795.38,1401753,19.128,7.60,392470,19.095,8,59258889,19.441,0.22,77614,19.655,8,9525344,20.281,1.19,42869,20.001,0.50,10647,20.231,397.94,13281194,20.742,12.05,43189,20.923,34.51,918863,21.532,0.65,53502,21.780,8,49325453,22.372,0.02,1530432
,,blank,20230113a_019.d,Sample,1/14/2023 3:24 PM,2.991,0.40,532,3.273,0.50,120,19.539,49.49,3892,19.111,400.92,58242,19.539,29.24,3788,19.539,44.14,3883,20.066,1.15,86,20.281,72.28,3826,20.412,5.43,307,20.528,0.63,58,20.906,0.42,14,21.730,187.67,15031,21.779,43.37,68334,22.142,8.39,8091
,!,CM S65_2%_TLE-TE,20230113a_020.d,Sample,1/14/2023 4:32 PM,2.991,3479.37,14866604,2.991,405.63,1430696,19.095,1.32,962728,19.119,8,145982476,19.309,0.28,248050,19.671,130.75,21765364,20.346,112.90,155558,19.655,0.52,9936,20.314,63.47,19283736,20.758,8,228257,20.923,8,1026239,21.532,0.76,152356,21.796,120212.36,102656248,22.191,3810.66,9429871
,!,CM_S47_2%_TLE-TE,20230113a_021.d,Sample,1/14/2023 5:41 PM,3.058,9888.81,5631373,3.058,2203.55,559657,19.177,2.13,186735,19.177,8,41132473,19.391,0.35,102326,19.737,8,9246483,20.297,8,32741,19.721,1.13,45367,20.314,8,6884523,20.824,8,14749,20.972,22.72,325506,21.598,0.60,27353,21.845,274622.92,37448730,22.504,0.02,1981069
,,blank,20230113a_022.d,Sample,1/14/2023 6:50 PM,2.991,0.51,315,3.380,1.63,224,19.688,50.15,2861,19.177,701.73,113636,19.688,49.22,2871,19.688,38.31,2866,20.017,0.46,15,20.264,54.67,5492,20.264,54.67,5492,21.170,1.42,125,21.170,1.39,121,21.615,69.16,4610,21.878,298.40,57306,22.175,25.21,4124
,!,CM S43_2%_TLE-TE,20230113a_023.d,Sample,1/14/2023 7:58 PM,3.146,2202.97,14742467,3.149,733.05,1089495,19.160,0.70,465560,19.177,56250.75,90909236,19.391,0.53,283600,19.745,8,39520361,20.281,1.77,300102,19.737,7.89,388985,20.343,823.25,62949480,20.857,0.86,545206,20.989,7.03,5658520,21.598,0.72,101739,21.845,102656.97,41197955,22.570,0.02,1302834
,,blank,20230113a_024.d,Sample,1/14/2023 9:07 PM,2.925,1.08,1656,3.322,2.28,511,19.556,29.76,1979,19.160,400.55,89389,19.556,29.83,1986,19.737,269.64,32205,20.939,60.73,3421,20.379,153.56,49994,20.379,153.55,49988,20.939,46.97,3421,20.939,46.73,3106,21.714,38.14,1549,21.829,411.44,45027,22.323,91.64,7937
,!,CM S46_2%_TLE-TE,20230113a_025.d,Sample,1/14/2023 10:16 PM,3.223,2410.69,20669968,3.223,889.31,1874058,19.160,1.70,544932,19.199,31439.53,99019775,19.408,0.54,510373,19.753,181.24,17018310,20.412,0.83,46341,19.753,4.40,148108,20.363,8,14290094,20.577,0.99,68396,21.005,27.21,1540620,21.302,0.05,2815,21.862,70285.57,69177763,22.274,4465.50,11389297
,!,blank,20230113a_026.d,Sample,1/14/2023 11:25 PM,2.967,0.38,980,3.239,0.34,171,19.375,53.27,1802,19.193,400.38,131738,19.375,47.38,1972,19.753,49.83,4165,20.841,33.45,1877,20.330,265.67,26118,20.330,329.30,26114,20.841,33.67,2071,20.841,33.84,2071,21.944,246.75,37770,21.895,506.89,116918,22.191,35.54,8442
,!,CM S45_2%_TLE-TE,20230113a_027.d,Sample,1/15/2023 12:33 AM,3.363,3449.73,15507480,3.355,348.40,1225853,19.160,1.44,340703,19.193,396811.71,65492565,19.391,0.61,372226,19.770,8,14001615,20.659,8,119793,19.737,13.62,164204,20.379,2564.32,14297973,20.841,1.36,72416,21.022,8.34,940446,21.154,46.67,174212,21.895,570019.15,49314864,22.257,51524.31,4460054
,!,blank,20230113a_028.d,Sample,1/15/2023 1:42 AM,3.041,0.86,986,3.239,0.59,227,19.589,59.24,2795,19.226,607.81,55765,19.589,100.58,2755,19.786,57.99,6261,20.231,0.64,32,20.330,147.04,10343,20.330,169.49,10334,20.692,0.44,20,21.055,0.61,35,21.829,239.98,29221,21.829,348.03,78371,21.829,348.04,78379
,!,CM S73_2%_TLE-TE,20230113a_029.d,Sample,1/15/2023 2:51 AM,3.372,2205.15,7536019,3.372,354.42,593744,19.177,5.74,286007,19.193,8,58660098,19.375,0.26,134133,19.770,414.39,8628069,20.495,72.74,21504,19.737,5.00,32974,20.445,1743.43,6767931,20.906,8,60129,21.038,56.27,555873,21.170,11.48,100764,21.878,8,56121724,22.488,0.02,2863248
,!,CM S40_2%_TLE-TE,20230113a_030.d,Sample,1/15/2023 3:59 AM,3.347,1521.70,1798562,3.339,312.90,130243,19.210,3.20,22041,19.210,8,6658413,19.622,8,49157,19.770,8,1004377,20.462,26.73,2076,20.001,3.28,5926,20.346,963.09,1029417,21.022,13.86,6622,21.121,53.04,37144,21.236,6.97,7038,21.895,40589.11,4758813,22.208,3423.27,449370
,!,blank,20230113a_031.d,Sample,1/15/2023 5:08 AM,3.000,0.54,419,3.438,1.81,422,19.045,0.77,85,19.210,209.42,16363,19.457,1.36,70,19.704,2.22,81,20.248,1.15,45,20.412,4.44,356,20.412,3.84,358,20.478,0.91,91,21.038,1.45,78,21.911,136.27,6826,21.845,72.94,9249,21.961,259.93,13574
,!,CM S37_2%_TLE-TE,20230113a_032.d,Sample,1/15/2023 6:17 AM,4.600,1639.32,9195516,4.141,8,5340618,19.144,3.56,187661,19.169,8,35049760,19.358,0.26,76737,19.737,8,5990774,20.281,8,28535,19.688,97.86,57118,20.314,8,5496917,20.824,3.40,23885,21.022,26.80,493562,21.154,0.81,31702,21.921,135965.06,27473275,22.257,0.06,3236646
,,blank,20230113a_033.d,Sample,1/15/2023 7:26 AM,2.958,1.47,2927,3.347,1.27,870,19.671,51.53,3257,19.160,71.88,40105,19.671,51.53,3257,19.753,77.64,5668,20.231,0.77,23,20.363,92.68,5624,20.363,92.68,5624,20.396,0.79,79,20.874,1.24,51,21.582,43.56,2281,21.944,108.98,47826,22.043,60.33,12429
,!,CM S75_2%_TLE-TE,20230113a_034.d,Sample,1/15/2023 8:34 AM,4.921,4425.33,18492397,4.380,8055.86,15302572,19.160,3.34,776577,19.157,248.13,145904889,19.342,0.26,275206,19.704,101.94,24533917,20.379,1.57,148504,19.704,2.17,335680,20.379,211.60,24292273,20.528,0.39,45575,21.022,8,2434399,21.154,26.75,725645,21.909,268647.23,123976222,22.669,0.02,5443767
!,!,blank,20230113a_006.d,Sample,1/14/2023 12:30 AM,2.958,0.80,278,3.256,0.17,112,18.946,1.25,123,19.095,103.58,4597,19.342,0.75,34,,,,20.314,0.98,203,20.626,0.68,42,20.626,0.67,41,20.314,0.51,18,21.154,0.66,37,21.796,28.20,1192,21.977,2.20,131,22.340,1.70,92
