Sample,,,,,,C37:3 Results,,,C37:2 Results,,,GDGT-1a Results,,,GDGT-0 Results,,,GDGT-1b Results,,,GDGT-1c Results,,,GDGT-1 Results,,,GDGT-2a Results,,,GDGt-3a Results,,,GDGT-2b Results,,,GDGT-2 Results,,,GDGT-3b Results,,,GDGT-3 Results,,,Cren Results,,,GDGT-4 Results,,,Cren-regioisomer Results,,
,,Name,Data File,Type,Acq. Date-Time,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area
,!,blank,20220429a_001.d,Sample,5/1/2022 9:18 PM,2.867,1.41,8785,3.388,0.90,516,18.106,41.11,3145,19.095,0.60,38,18.255,2.34,191,18.106,37.42,3197,18.255,2.24,173,20.495,2.13,168,20.363,0.94,36,20.495,3.75,165,20.495,2.12,164,19.128,45.26,2296,21.351,4.02,254,22.290,1.55,78,21.714,0.91,61,22.290,1.53,76
,!,CM_F8.5_QQQ_Drift_v210227,20220429a_002.d,Sample,5/1/2022 10:27 PM,3.049,1.23,5799,3.917,656.60,414421,19.111,8,279953,18.749,8,23476582,19.276,8,2007463,19.276,8,2007463,19.935,8,407977,19.918,835.27,1313436,20.330,8,79861,20.478,453.64,175338,20.478,102.45,177655,20.478,25.98,431929,21.154,18.87,201701,21.330,9215.43,34307737,21.335,8,13692700,21.714,0.02,1040084
,!,C37:2_C37:3_std_113-10_1000ul-99:1_hex:IPA,20220429a_003.d,Sample,5/1/2022 11:36 PM,3.645,11287.00,47086646,3.376,59627.53,49972418,19.243,46.31,2484,18.732,476.67,31176,19.243,46.22,2475,19.243,46.27,2480,19.243,46.28,2481,20.281,3.51,159,20.462,2.92,137,20.281,4.52,164,20.281,3.59,165,21.104,14.73,674,21.104,13.98,669,21.269,820.90,90803,21.236,510.36,30433,21.269,914.68,90797
,!,blank,20220429a_004.d,Sample,5/2/2022 12:44 AM,3.099,0.58,4660,3.521,2.33,1862,18.633,0.99,100,18.848,60.62,3060,19.622,1.71,66,19.622,1.48,208,19.622,1.31,207,20.017,2.72,185,20.281,1.85,77,20.017,4.63,180,20.017,2.72,185,20.594,3.79,205,21.252,39.86,1630,21.401,317.70,17884,21.813,3.83,299,21.401,317.63,17868
,!,CM S91_2%_TLE-TE,20220429a_005.d,Sample,5/2/2022 1:53 AM,3.173,293.42,659102,2.983,1054.52,489048,19.045,0.33,36233,19.045,8,7176358,19.259,0.05,2084,19.424,8,53806,19.589,8,969612,19.935,0.69,873,20.297,4.93,1841,20.116,1111.45,69664,20.231,6934.19,558704,20.627,33.34,5490,20.791,226.86,73575,21.631,213339.48,7032109,21.631,8,2712257,22.027,0.02,206259
,!,CM S97_2%_TLE-TE,20220429a_006.d,Sample,5/2/2022 3:02 AM,3.033,301.61,796576,2.867,2671.37,733937,19.062,3.79,61974,19.062,145127.17,11392280,19.259,0.07,3616,19.490,8,116865,19.622,8,1663838,19.474,19.56,9460,20.215,8.20,1783,20.099,8,82478,20.264,8,891809,20.676,111.83,10422,20.824,374.95,94810,21.664,150726.51,10380382,21.648,14632.77,4116818,22.043,0.02,296327
,!,CM S99_2%_TLE-TE,20220429a_007.d,Sample,5/2/2022 4:11 AM,2.967,453.33,815842,2.810,160.84,720189,19.045,3.48,61762,19.062,194213.20,15225584,19.276,0.07,2333,19.506,68.74,160992,19.605,560.63,1929755,19.589,23.90,15344,20.281,3.69,2948,20.149,86.33,157047,20.248,8,1219499,20.659,617.77,34509,20.808,1535.76,124974,21.664,88939.52,13970102,21.648,338.97,5704716,22.043,0.02,467222
,!,blank,20220429a_008.d,Sample,5/2/2022 5:19 AM,3.008,1.16,3588,3.512,0.32,296,19.358,1.33,63,19.012,110.49,7636,19.358,1.33,62,19.539,0.68,44,19.852,0.30,11,20.264,0.75,80,20.857,1.49,58,20.264,0.96,92,20.264,0.74,78,20.857,1.31,57,20.972,0.93,31,21.878,25.60,761,21.829,10.93,422,22.175,11.40,774
,!,CM S101_2%_TLE-TE,20220429a_009.d,Sample,5/2/2022 6:28 AM,2.917,444.53,1185158,2.768,5646.96,964065,19.062,0.46,171807,19.062,219912.70,27228555,19.292,0.05,7025,19.506,1926.46,250243,19.622,5.32,3202400,19.638,28.74,29097,20.248,8,11305,20.132,8,249012,20.264,8,1996551,20.692,37.63,44091,20.841,1.98,254967,21.681,197025.03,23543549,21.681,187.73,8486584,22.060,0.02,683286
