Sample,,,,,,C37:3 Results,,,C37:2 Results,,,GDGT-1a Results,,,GDGT-0 Results,,,GDGT-1b Results,,,GDGT-1 Results,,,GDGt-3a Results,,,GDGT-2a Results,,,GDGT-2 Results,,,GDGT-3b Results,,,GDGT-3 Results,,,GDGT-4 Results,,,Cren Results,,,Cren-regioisomer Results,,
,,Name,Data File,Type,Acq. Date-Time,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area
!,!,blank,20220429a_001.d,Sample,5/1/2022 9:18 PM,2.867,1.41,8785,3.388,0.90,516,18.106,41.11,3145,19.095,0.60,38,,,,18.255,2.24,173,20.363,0.94,36,20.495,2.12,164,20.495,2.13,167,19.128,45.05,2270,19.128,45.25,2295,21.351,2.48,187,22.290,1.55,78,22.290,1.53,76
,!,CM_F8.5_QQQ_Drift_v210227,20220429a_002.d,Sample,5/1/2022 10:27 PM,3.049,1.23,5799,3.917,656.60,414421,19.111,8,279953,18.749,8,23476582,19.276,8,2007463,19.935,8,407977,20.330,8,79861,20.478,102.45,177655,20.478,102.45,177655,20.478,25.98,431952,21.154,18.87,201685,21.335,1840.94,13793856,21.330,9215.43,34307737,21.330,9215.85,34312999
,!,C37:2_C37:3_std_113-10_1000ul-99:1_hex:IPA,20220429a_003.d,Sample,5/1/2022 11:36 PM,3.645,11287.00,47086646,3.376,59627.53,49972418,19.243,46.31,2484,18.732,476.67,31176,19.243,46.27,2480,19.243,46.28,2481,20.462,2.92,137,20.281,3.59,165,20.281,3.67,175,20.462,3.03,148,21.104,14.67,668,21.236,859.16,30410,21.269,820.90,90803,21.269,914.68,90797
,!,blank,20220429a_004.d,Sample,5/2/2022 12:44 AM,3.099,0.58,4660,3.521,2.33,1862,18.633,0.99,100,18.848,60.62,3060,19.622,1.69,65,19.622,1.31,207,20.281,1.85,77,20.017,2.72,185,20.017,2.82,182,20.594,3.84,212,20.594,3.78,203,21.351,21.90,2300,21.401,317.70,17884,21.401,317.63,17868
,!,CM S91_2%_TLE-TE,20220429a_005.d,Sample,5/2/2022 1:53 AM,3.173,293.42,659102,3.173,102.29,50234,19.045,0.34,36548,19.045,8,7176358,19.424,8,90523,19.589,8,975189,20.297,7.17,2156,20.132,1265.34,82965,20.231,5132.75,528749,20.627,33.23,5446,20.791,242.48,73965,21.351,,-955,21.631,213339.48,7032109,22.027,0.02,209595
,!,CM S97_2%_TLE-TE,20220429a_006.d,Sample,5/2/2022 3:02 AM,3.033,301.61,796576,3.033,248.57,75952,19.062,4.33,76237,19.062,145127.17,11392280,19.490,8,210220,19.622,8,1705521,20.215,8.45,1931,20.149,8,98446,20.264,8,882060,20.709,124.00,12752,20.824,375.58,91935,20.989,10.47,17209,21.664,150726.51,10380382,22.043,0.02,307368
,!,CM S99_2%_TLE-TE,20220429a_007.d,Sample,5/2/2022 4:11 AM,2.967,453.33,815842,2.967,188.75,78357,19.045,4.10,79498,19.062,194213.20,15225584,19.490,55.60,183205,19.605,561.96,1918359,20.281,3.80,2975,20.132,8,139129,20.248,8,1207832,20.659,644.87,36343,20.808,1542.04,130291,21.500,8,158736,21.664,89088.55,13994996,22.043,2846.87,508205
,!,blank,20220429a_008.d,Sample,5/2/2022 5:19 AM,3.008,1.16,3588,3.512,0.32,296,19.358,1.33,63,19.012,110.49,7636,19.358,1.19,62,19.852,0.30,11,20.857,1.49,58,20.264,0.74,78,20.264,0.96,93,20.478,0.43,18,20.857,1.30,57,21.500,10.12,411,21.878,25.60,761,22.175,11.40,774
,!,CM S101_2%_TLE-TE,20220429a_009.d,Sample,5/2/2022 6:28 AM,2.917,444.53,1185158,2.917,550.41,105904,19.062,0.46,171807,19.062,219912.70,27228555,19.457,1.25,262348,19.622,5.31,3192466,20.248,8,11388,20.132,8,267666,20.264,8,2014197,20.692,38.26,44979,20.841,156.74,253707,21.516,1669.69,204531,21.681,197115.02,23530857,22.060,0.02,696033
